Name,First_name,Last_name,Href,Player_headshot
Travis Swaggerty,Travis,Swaggerty,/player/travis-swaggerty-680552,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/680552/headshot/67/current"
Erik Swanson,Erik,Swanson,/player/erik-swanson-657024,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/657024/headshot/67/current"
Dansby Swanson,Dansby,Swanson,/player/dansby-swanson-621020,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/621020/headshot/67/current"
Matt Swarmer,Matt,Swarmer,/player/matt-swarmer-664161,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/664161/headshot/67/current"
Noah Syndergaard,Noah,Syndergaard,/player/noah-syndergaard-592789,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/592789/headshot/67/current"
Thomas Szapucki,Thomas,Szapucki,/player/thomas-szapucki-663378,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/663378/headshot/67/current"
Jameson Taillon,Jameson,Taillon,/player/jameson-taillon-592791,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/592791/headshot/67/current"
Domingo Tapia,Domingo,Tapia,/player/domingo-tapia-593619,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/593619/headshot/67/current"
Raimel Tapia,Raimel,Tapia,/player/raimel-tapia-606132,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/606132/headshot/67/current"
Freddy Tarnok,Freddy,Tarnok,/player/freddy-tarnok-676206,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/676206/headshot/67/current"
Dillon Tate,Dillon,Tate,/player/dillon-tate-622253,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/622253/headshot/67/current"
Leody Taveras,Leody,Taveras,/player/leody-taveras-665750,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/665750/headshot/67/current"
Blake Taylor,Blake,Taylor,/player/blake-taylor-642130,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/642130/headshot/67/current"
Chris Taylor,Chris,Taylor,/player/chris-taylor-621035,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/621035/headshot/67/current"
Michael A. Taylor,Michael,A. Taylor,/player/michael-a-taylor-572191,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/572191/headshot/67/current"
Tyrone Taylor,Tyrone,Taylor,/player/tyrone-taylor-621438,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/621438/headshot/67/current"
Rowdy Tellez,Rowdy,Tellez,/player/rowdy-tellez-642133,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/642133/headshot/67/current"
